time,Apolloon,VTK
1666463286,7,8
1666463287,7,8
1666463288,7,8
1666463289,7,8
1666463290,7,9
1666463291,7,9
1666463292,7,9
1666463293,7,9
1666463294,7,9
1666463295,7,9
1666463296,8,9
1666463297,8,9
1666463298,8,9
1666463299,8,9
1666463300,8,9
1666463301,8,9
1666463302,8,9
1666463303,8,9
1666463304,8,9
1666463305,8,9
1666463306,8,9
1666463307,8,9
1666463308,8,9
1666463309,8,9
1666463310,8,9
1666463311,8,9
1666463312,8,9
1666463313,8,9
1666463314,8,9
1666463315,8,9
1666463316,8,9
1666463317,8,9
1666463318,8,9
1666463319,8,9
1666463320,8,9
1666463321,8,9
1666463322,8,9
1666463323,8,9
1666463324,8,9
1666463325,8,9
1666463326,8,9
1666463327,8,9
1666463328,8,9
1666463329,8,9
1666463330,8,9
1666463331,8,9
1666463332,8,9
1666463333,8,9
1666463334,8,9
1666463335,8,9
1666463336,8,9
1666463337,8,9
1666463338,8,9
1666463339,8,9
1666463340,8,9
1666463341,8,9
1666463342,8,9
1666463343,8,9
1666463344,8,9
1666463345,8,9
1666463346,8,9
1666463347,8,9
1666463348,8,9
1666463349,8,9
1666463351,8,9
1666463352,8,9
1666463353,8,9
1666463354,8,9
1666463355,8,9
1666463356,8,9
1666463357,8,9
1666463358,8,9
1666463359,8,10
1666463360,8,10
1666463361,8,10
1666463362,8,10
1666463363,8,10
1666463364,8,10
1666463365,8,10
1666463366,8,10
1666463367,8,10
1666463368,8,10
1666463369,8,10
1666463370,8,10
1666463371,8,10
1666463372,8,10
1666463373,8,10
1666463374,8,10
1666463375,8,10
1666463376,8,10
1666463377,9,10
1666463378,9,10
1666463379,9,10
1666463380,9,10
1666463381,9,10
1666463382,9,10
1666463383,9,10
1666463384,9,10
1666463385,9,10
1666463386,9,10
1666463387,9,10
1666463388,9,10
1666463389,9,10
1666463390,9,10
1666463391,9,10
1666463392,9,10
1666463393,9,10
1666463394,9,10
1666463395,9,10
1666463396,9,10
1666463397,9,10
1666463398,9,10
1666463399,9,10
1666463400,9,10
1666463401,9,10
1666463402,9,10
1666463403,9,10
1666463404,9,10
1666463405,9,10
1666463406,9,10
1666463407,9,10
1666463408,9,10
1666463409,9,10
1666463410,9,10
1666463411,9,10
1666463412,9,10
1666463413,9,10
1666463414,9,10
1666463415,9,10
1666463416,9,10
1666463417,9,10
1666463418,9,10
1666463419,9,10
1666463420,9,10
1666463421,9,10
1666463422,9,10
1666463423,9,10
1666463424,9,10
1666463425,9,10
1666463426,9,10
1666463427,9,10
1666463428,9,10
1666463429,9,11
1666463430,9,11
1666463431,9,11
1666463432,9,11
1666463433,9,11
1666463434,9,11
1666463435,9,11
1666463436,9,11
1666463437,9,11
1666463438,9,11
1666463439,9,11
1666463440,9,11
1666463441,9,11
1666463442,9,11
1666463443,9,11
1666463444,9,11
1666463445,9,11
1666463446,9,11
1666463447,9,11
1666463448,9,11
1666463449,9,11
1666463450,9,11
1666463451,9,11
1666463452,9,11
1666463453,9,11
1666463454,9,11
1666463456,9,11
1666463457,9,11
1666463458,10,11
1666463459,10,11
1666463460,10,11
1666463461,10,11
1666463462,10,11
1666463463,10,11
1666463464,10,11
1666463465,10,11
1666463466,10,11
1666463467,10,11
1666463468,10,11
1666463469,10,11
1666463470,10,11
1666463471,10,11
1666463472,10,11
1666463473,10,11
1666463474,10,11
1666463475,10,11
1666463476,10,11
1666463477,10,11
1666463478,10,11
1666463479,10,11
1666463480,10,11
1666463481,10,11
1666463482,10,11
1666463483,10,11
1666463484,10,11
1666463485,10,11
1666463486,10,11
1666463487,10,11
1666463488,10,11
1666463489,10,11
1666463490,10,11
1666463491,10,11
1666463492,10,11
1666463493,10,11
1666463494,10,11
1666463495,10,11
1666463496,10,11
1666463497,10,11
1666463498,10,12
1666463499,10,12
1666463500,10,12
1666463501,10,12
1666463502,10,12
1666463503,10,12
1666463504,10,12
1666463505,10,12
1666463506,10,12
1666463507,10,12
1666463508,10,12
1666463509,10,12
1666463510,10,12
1666463511,10,12
1666463512,10,12
1666463513,10,12
1666463514,10,12
1666463515,10,12
1666463516,10,12
1666463517,10,12
1666463518,10,12
1666463519,10,12
1666463520,10,12
1666463521,10,12
1666463522,10,12
1666463523,10,12
1666463524,10,12
1666463525,10,12
1666463526,10,12
1666463527,10,12
1666463528,10,12
1666463529,10,12
1666463530,10,12
1666463531,10,12
1666463532,10,12
1666463533,10,12
1666463534,10,12
1666463535,10,12
1666463536,10,12
1666463537,10,12
1666463538,10,12
1666463539,11,12
1666463540,11,12
1666463541,11,12
1666463542,11,12
1666463543,11,12
1666463544,11,12
1666463545,11,12
1666463546,11,12
1666463547,11,12
1666463548,11,12
1666463549,11,12
1666463550,11,12
1666463551,11,12
1666463552,11,12
1666463553,11,12
1666463554,11,12
1666463555,11,12
1666463556,11,12
1666463557,11,12
1666463558,11,12
1666463559,11,12
1666463561,11,12
1666463562,11,12
1666463563,11,12
1666463564,11,12
1666463565,11,12
1666463566,11,12
1666463567,11,12
1666463568,11,13
1666463569,11,13
1666463570,11,13
1666463571,11,13
1666463572,11,13
1666463573,11,13
1666463574,11,13
1666463575,11,13
1666463576,11,13
1666463577,11,13
1666463578,11,13
1666463579,11,13
1666463580,11,13
1666463581,11,13
1666463582,11,13
1666463583,11,13
1666463584,11,13
1666463585,11,13
1666463586,11,13
1666463587,11,13
1666463588,11,13
1666463589,11,13
1666463590,11,13
1666463591,11,13
1666463592,11,13
1666463593,11,13
1666463594,11,13
1666463595,11,13
1666463596,11,13
1666463597,11,13
1666463598,11,13
1666463599,11,13
1666463600,11,13
1666463601,11,13
1666463602,11,13
1666463603,11,13
1666463604,11,13
1666463605,11,13
1666463606,11,13
1666463607,11,13
1666463608,11,13
1666463609,11,13
1666463610,11,13
1666463611,11,13
1666463612,11,13
1666463613,11,13
1666463614,11,13
1666463615,11,13
1666463616,11,13
1666463617,11,13
1666463618,11,13
1666463619,12,13
1666463620,12,13
1666463621,12,13
1666463622,12,13
1666463623,12,13
1666463624,12,13
1666463625,12,13
1666463626,12,13
1666463627,12,13
1666463628,12,13
1666463629,12,13
1666463630,12,13
1666463631,12,13
1666463632,12,13
1666463633,12,13
1666463634,12,13
1666463635,12,13
1666463636,12,14
1666463637,12,14
1666463638,12,14
1666463639,12,14
1666463640,12,14
1666463641,12,14
1666463642,12,14
1666463643,12,14
1666463644,12,14
1666463645,12,14
1666463646,12,14
1666463647,12,14
1666463648,12,14
1666463649,12,14
1666463650,12,14
1666463651,12,14
1666463652,12,14
1666463653,12,14
1666463654,12,14
1666463655,12,14
1666463656,12,14
1666463657,12,14
1666463659,12,14
1666463660,12,14
1666463661,12,14
1666463662,12,14
1666463663,12,14
1666463664,12,14
1666463665,12,14
1666463666,12,14
1666463667,12,14
1666463668,12,14
1666463669,12,14
1666463670,12,14
1666463671,12,14
1666463672,12,14
1666463673,12,14
1666463674,12,14
1666463675,12,14
1666463676,12,14
1666463677,12,14
1666463678,12,14
1666463679,12,14
1666463680,12,14
1666463681,12,14
1666463682,12,14
1666463683,12,14
